"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","42.90749064","3.7453E-4","0.02330595","0.0","2","96","false","1","2.0","2","0","0","0.66740087","false","0","1","830096","0.5"
"73","41.90805243","8.1239E-4","0.02386176","0.0","3","95","false","2","2.66666667","3","0","0","0.67533292","false","0","2","1684458","0.41666667"
"75","45.51722846","0.00211477","0.0219697","0.0","3","93","false","3","2.66666667","3","0","0","0.64668866","false","0","3","1335240","0.33333333"
"76","46.5170412","0.0","0.0214975","0.0","1","94","false","4","3.0","1","0","0","0.63875364","false","0","4","0","0.0"
"78","35.43670412","0.00717206","0.02821933","0.0","3","81","false","5","3.66666667","3","0","0","0.72669282","false","0","5","5051836","0.38095238"
"79","36.02003745","0.00108338","0.02776233","0.0","3","81","false","6","3.0","3","0","0","0.72206319","false","0","6","227426","0.4"
"81","38.07359551","0.00858458","0.02626492","0.0","3","88","false","7","3.33333333","3","0","0","0.70576512","false","0","7","83596800","0.38888889"
"82","37.22846442","0.01777024","0.02686117","0.0","3","87","false","8","3.0","3","0","0","0.7124725","false","0","8","166969354","0.4"
"84","40.77078652","0.0","0.02452737","0.0","1","85","false","9","4.0","1","0","0","0.68435884","false","0","9","0","0.0"
"85","39.77097378","0.00523134","0.02514397","0.0","4","84","false","10","2.5","4","0","0","0.69229386","false","0","10","2780926","0.25"
"87","34.94681648","0.00119053","0.02861491","0.0","3","78","false","11","3.0","3","0","0","0.73058082","false","0","11","401286","0.33333333"
"88","35.94475655","6.5456E-4","0.02782047","0.0","3","79","false","12","2.33333333","3","0","0","0.72266066","false","0","12","256856","0.33333333"
"90","41.57041199","0.00129186","0.02405557","0.0","3","88","false","13","3.0","3","0","0","0.6780126","false","0","13","2015782","0.4"
"91","42.56872659","8.8942E-4","0.02349142","0.0","3","89","false","14","2.33333333","3","0","0","0.67008947","false","0","14","1510538","0.33333333"
"93","34.93445693","0.0077243","0.02862503","0.0","4","80","false","15","3.0","4","0","0","0.73067891","false","0","15","5372014","0.28571429"
"94","34.70337079","0.01697118","0.02881564","0.0","3","80","false","16","3.33333333","3","0","0","0.73251293","false","0","16","25807992","0.33333333"
"96","43.5906367","5.7419E-4","0.02294071","0.0","4","98","false","17","3.25","4","0","0","0.66197907","false","0","17","3470370","0.28125"
"97","43.17303371","6.7406E-4","0.02316261","0.0","3","97","false","18","3.66666667","3","0","0","0.66529338","false","0","18","2245760","0.38095238"
"99","56.35561798","0.00118267","0.01774446","0.0","3","108","false","19","2.66666667","3","0","0","0.5606697","false","0","19","1468142","0.33333333"
"100","56.45505618","4.0059E-4","0.01771321","0.0","2","108","false","20","3.0","2","0","0","0.55988051","false","0","20","55100","0.5"
"102","33.71441948","0.00155211","0.0296609","0.0","3","76","false","21","2.33333333","3","0","0","0.74036175","false","0","21","790800","0.33333333"
"103","33.19213483","0.00184191","0.03012762","0.0","3","75","false","22","3.0","3","0","0","0.74450687","false","0","22","892646","0.33333333"
"105","58.9071161","0.01628575","0.01697588","0.0","3","112","false","23","3.0","3","0","0","0.54041971","false","0","23","28153950","0.33333333"
"106","59.77846442","0.00294763","0.01672843","0.0","3","113","false","24","2.33333333","3","0","0","0.53350425","false","0","24","6212742","0.33333333"
"108","61.0005618","0.0038468","0.01639329","0.0","3","114","false","25","3.33333333","3","0","0","0.52380507","false","0","25","5325994","0.33333333"
"109","61.99962547","7.4899E-4","0.01612913","0.0","3","115","false","26","1.66666667","3","0","0","0.51587599","false","0","26","1956022","0.33333333"
"111","38.67097378","0.00161065","0.02585919","0.0","3","73","false","27","3.0","3","0","0","0.70102402","false","0","27","940726","0.33333333"
"112","39.66292135","6.7265E-4","0.02521246","0.0","3","74","false","28","3.0","3","0","0","0.69315142","false","0","28","307194","0.33333333"
"114","38.36722846","4.8957E-4","0.02606391","0.0","3","83","false","29","2.66666667","3","0","0","0.70343469","false","0","29","339386","0.33333333"
"115","38.13258427","6.6009E-4","0.02622429","0.0","3","83","false","30","2.66666667","3","0","0","0.70529695","false","0","30","445026","0.33333333"
"117","34.08333333","0.00393034","0.02933985","0.0","4","75","false","31","3.25","4","0","0","0.73743386","false","0","31","3847408","0.28125"
"118","34.61329588","0.00248296","0.02889063","0.0","3","76","false","32","3.33333333","3","0","0","0.73322781","false","0","32","6432682","0.38888889"
"120","36.33220974","0.0111155","0.02752379","0.0","3","81","false","33","3.0","3","0","0","0.71958564","false","0","33","24292218","0.33333333"
"121","36.37621723","0.01106536","0.02749049","0.0","3","82","false","34","3.0","3","0","0","0.71923637","false","0","34","21897764","0.33333333"
"123","45.23782772","0.03446873","0.02210539","0.0","3","92","false","35","2.33333333","3","0","0","0.64890613","false","0","35","26547728","0.33333333"
"124","46.23764045","0.0","0.0216274","0.0","1","93","false","36","3.0","1","0","0","0.64097111","false","0","36","0","0.0"
"126","40.79906367","0.01410593","0.02451037","0.0","4","91","false","37","3.5","4","0","0","0.68413442","false","0","37","9554410","0.25"
"127","41.59007491","7.9386E-4","0.0240442","0.0","3","92","false","38","3.33333333","3","0","0","0.67785655","false","0","38","726706","0.33333333"
"129","40.91797753","0.00394017","0.02443914","0.0","3","94","false","39","3.66666667","3","0","0","0.68319065","false","0","39","15170204","0.44444444"
"130","41.70543071","0.00169296","0.02397769","0.0","4","95","false","40","3.0","4","0","0","0.67694103","false","0","40","3580482","0.33333333"
"132","40.37977528","0.00221691","0.02476487","0.33333333","3","85","false","41","3.0","3","0","0","0.6874621","false","0","41","1215080","0.44444444"
"133","40.95580524","0.00254634","0.02441656","0.0","3","86","false","42","3.33333333","3","0","0","0.68289043","false","0","42","2007420","0.33333333"
"135","42.57303371","6.2258E-4","0.02348905","0.33333333","3","78","false","43","3.33333333","3","0","0","0.67005529","false","0","43","82520","0.42857143"
"136","41.87808989","4.8218E-4","0.02387884","0.33333333","3","77","false","44","3.0","3","0","0","0.67557072","false","0","44","105668","0.44444444"
"138","51.96966292","0.04993667","0.019242","0.0","4","103","false","45","3.5","4","0","0","0.59547887","false","0","45","154245852","0.25"
