"node_id","DAUID","int_d","dwl_d","poi","ale_index","ale_class","lon","lat"
1,"10010302",95.099998,"1377.5",134,"1.8790704","3",-52.7154509839134,47.5581936929476
2,"10010302",95.099998,"1377.5",134,"1.8790704","3",-52.7155003189585,47.5580662014047
3,"10010801",9,"139.10001",0,"-1.8493179","1",-52.8857732916236,47.586256391494
4,"10010801",9,"139.10001",0,"-1.8493179","1",-52.8867682840803,47.5858171039849
5,"10010237",136.10001,"825.5",217,"2.9130175","2",-52.7310537905677,47.5681715044756
6,"10010237",136.10001,"825.5",217,"2.9130175","2",-52.7321222911614,47.5687221942087
7,"10010226",97.699997,"1686.8",103,"1.9029114","3",-52.72203198494,47.5578064085401
8,"10010224",70.800003,"1631.6",49,"0.8963812","3",-52.7222162040698,47.5577496106483
9,"10010180",26.299999,"416",16,"-1.17295","2",-52.7548998882897,47.5249951974219
10,"10010180",26.299999,"416",16,"-1.17295","2",-52.756631599393,47.5243388044296
11,"10010338",43.200001,"543.09998",19,"-0.73629367","2",-52.7310251064758,47.5906944124432
12,"10010338",43.200001,"543.09998",19,"-0.73629367","2",-52.731650916043,47.5907119948023
13,"10010801",9,"139.10001",0,"-1.8493179","1",-52.8745857910299,47.5675793913277
14,"10010801",9,"139.10001",0,"-1.8493179","1",-52.8730320658433,47.5663805702479
15,"10010237",136.10001,"825.5",217,"2.9130175","2",-52.7337542177781,47.5666009952661
16,"10010233",161.39999,"1231.9",244,"3.9346657","3",-52.7337415850815,47.5658182979503
17,"10010299",122.3,"1307.9",191,"2.8178983","3",-52.7088926910379,47.5662093055544
18,"10010299",122.3,"1307.9",191,"2.8178983","3",-52.7092283893103,47.5663123042891
19,"10010779",13.8,"164.3",9,"-1.663033","1",-52.7450278087085,47.6469637129932
20,"10010779",13.8,"164.3",9,"-1.663033","1",-52.7442879719428,47.6470527658699
21,"10010238",72.400002,"839",108,"0.80860502","2",-52.7425893170804,47.564811402722
22,"10010238",72.400002,"839",108,"0.80860502","2",-52.7433874923359,47.564025388788
23,"10010787",1,"45.099998",0,"-2.07058","1",-52.7713706020541,47.6463078879015
24,"10010787",1,"45.099998",0,"-2.07058","1",-52.7732087865608,47.6484372911056
25,"10010769",3.5,"72.800003",0,"-2.0027685","1",-52.8396622901654,47.6219455962272
26,"10010770",13.1,"97.099998",2,"-1.7902679","1",-52.8395134971507,47.6214980136272
27,"10010334",0.60000002,"70",0,"-2.0580881","1",-52.7947951966372,47.5522911937878
28,"10010334",0.60000002,"70",0,"-2.0580881","1",-52.7957527093074,47.5550079107124
29,"10010253",139.89999,"545.29999",312,"3.5866983","2",-52.7246166154836,47.5745852039973
30,"10010251",168.10001,"1020.3",335,"4.6812034","3",-52.7228536985258,47.573540905312
31,"10010250",163,"793.29999",309,"4.1808329","2",-52.7329529953106,47.5741535899552
32,"10010250",163,"793.29999",309,"4.1808329","2",-52.7309622011342,47.5750744932249
33,"10010250",163,"793.29999",309,"4.1808329","2",-52.7277200085164,47.5723158969995
34,"10010250",163,"793.29999",309,"4.1808329","2",-52.7283470200905,47.5719735969351
35,"10010801",9,"139.10001",0,"-1.8493179","1",-52.8783307163233,47.5626230946807
36,"10010801",9,"139.10001",0,"-1.8493179","1",-52.874473109595,47.5636759933292
37,"10010486",39.099998,"257.29999",113,"-0.22040339","1",-52.6977191932153,47.5722061882762
38,"10010486",39.099998,"257.29999",113,"-0.22040339","1",-52.698453005545,47.5718712966521
39,"10010306",58.299999,"1085.6",60,"0.32881227","3",-52.7153071993594,47.5525640841814
40,"10010306",58.299999,"1085.6",60,"0.32881227","3",-52.7154564095161,47.5526500060781
41,"10010619",27.5,"525.5",35,"-0.89842534","2",-52.838203398431,47.5434772083669
42,"10010619",27.5,"525.5",35,"-0.89842534","2",-52.8353575893804,47.5434238056612
43,"10010647",33.599998,"701.29999",40,"-0.60332149","2",-52.798682903778,47.519457599756
44,"10010647",33.599998,"701.29999",40,"-0.60332149","2",-52.8001884019333,47.5195868960015
45,"10010776",7.6999998,"87.599998",2,"-1.8966876","1",-52.7298915124338,47.6411440321089
46,"10010779",13.8,"164.3",9,"-1.663033","1",-52.7402077406643,47.6452075423874
47,"10010627",51.900002,"1060",14,"-0.20921253","3",-52.8099632968142,47.5149068913026
48,"10010627",51.900002,"1060",14,"-0.20921253","3",-52.809761680042,47.5140642044677
49,"10010787",1,"45.099998",0,"-2.07058","1",-52.770513695291,47.6665983098262
50,"10010787",1,"45.099998",0,"-2.07058","1",-52.7718973149875,47.6666085056102
51,"10010309",140.60001,"1459.2",235,"3.6563976","3",-52.7137561972857,47.5710228077047
52,"10010309",140.60001,"1459.2",235,"3.6563976","3",-52.7142862839563,47.5713748010291
53,"10010815",22.700001,"378.89999",16,"-1.2683799","2",-52.7435035070719,47.5835408034364
54,"10010815",22.700001,"378.89999",16,"-1.2683799","2",-52.7420891885533,47.5862077038907
55,"10010226",97.699997,"1686.8",103,"1.9029114","3",-52.7229043212949,47.5610888153657
56,"10010226",97.699997,"1686.8",103,"1.9029114","3",-52.7237821786972,47.5609115002885
57,"10010634",23.700001,"406.39999",2,"-1.3500756","2",-52.8381993999025,47.5194156880257
58,"10010634",23.700001,"406.39999",2,"-1.3500756","2",-52.8363040114171,47.5177450001306
59,"10010621",28.5,"578.5",16,"-1.0033598","2",-52.8132618975222,47.5258326897223
60,"10010620",18.6,"422",6,"-1.3962041","2",-52.8164030077146,47.5263858916116
61,"10010199",35.5,"930.40002",11,"-0.63870466","2",-52.7358232051915,47.5370733971665
62,"10010196",32,"854",9,"-0.78099036","2",-52.734083882232,47.5403390986642
63,"10010194",11.8,"262.60001",4,"-1.6649537","1",-52.7191154078499,47.5454505899499
64,"10010191",1.6,"67.800003",4,"-2.0067065","1",-52.7170395022507,47.5465883980328
65,"10010295",105.7,"885.59998",212,"2.3607693","2",-52.7071758946431,47.567791599745
66,"10010299",122.3,"1307.9",191,"2.8178983","3",-52.707684087104,47.5673113013419
67,"10010633",45.5,"728",1,"-0.70375901","2",-52.8220743083282,47.5186742894149
68,"10010633",45.5,"728",1,"-0.70375901","2",-52.8228320953256,47.5190762060263
69,"10010226",97.699997,"1686.8",103,"1.9029114","3",-52.7221324805088,47.5611201419688
70,"10010228",107,"1693.8",109,"2.1309776","3",-52.7223463096161,47.5613109909233
71,"10010247",37.799999,"742.59998",79,"-0.1540226","2",-52.7495713054278,47.5617412135686
72,"10010247",37.799999,"742.59998",79,"-0.1540226","2",-52.7501994828895,47.5617889968112
73,"10010662",29.799999,"598.70001",15,"-0.97219163","2",-52.8012457870163,47.5008087967912
74,"10010659",34.299999,"761.59998",17,"-0.74276376","2",-52.8013035069163,47.5013297978532
75,"10010235",110.5,"1309.4",151,"2.2548168","3",-52.7310825959946,47.5642028083304
76,"10010234",111.8,"1559.8",112,"2.1383369","3",-52.7310599967255,47.5631144081856
77,"10010678",0,"4.4000001",0,"-2.1212754","1",-52.7452500882432,47.4991270990482
